[21:49:16][rank0] ============================================================
[21:49:16][rank0]   EchoTrace GPU-Accelerated DDP Training
[21:49:16][rank0]   GPUs            : 4
[21:49:16][rank0]   Total samples   : 199991
[21:49:16][rank0]   Batch/GPU       : 64
[21:49:16][rank0]   Effective batch : 256
[21:49:16][rank0]   Epochs          : 10
[21:49:16][rank0]   Trainable params: 16,018,433 / 24,561,729
[21:49:16][rank0] ============================================================
[22:57:59][rank0] Epoch 03/10 | Batch  300/781 (38.4%) | Loss: 0.0099
[22:58:38][rank0] Epoch 03/10 | Batch  320/781 (41.0%) | Loss: 0.0359
[22:59:22][rank0] Epoch 03/10 | Batch  340/781 (43.5%) | Loss: 0.1054
[23:00:03][rank0] Epoch 03/10 | Batch  360/781 (46.1%) | Loss: 0.0067
[23:00:47][rank0] Epoch 03/10 | Batch  380/781 (48.7%) | Loss: 0.0035
[23:01:29][rank0] Epoch 03/10 | Batch  400/781 (51.2%) | Loss: 0.0168
[23:02:18][rank0] Epoch 03/10 | Batch  420/781 (53.8%) | Loss: 0.0400
[23:02:58][rank0] Epoch 03/10 | Batch  440/781 (56.3%) | Loss: 0.0053
[23:03:43][rank0] Epoch 03/10 | Batch  460/781 (58.9%) | Loss: 0.0107
[23:04:20][rank0] Epoch 03/10 | Batch  480/781 (61.5%) | Loss: 0.0082
[23:05:01][rank0] Epoch 03/10 | Batch  500/781 (64.0%) | Loss: 0.0235
[23:05:42][rank0] Epoch 03/10 | Batch  520/781 (66.6%) | Loss: 0.0407
[23:06:21][rank0] Epoch 03/10 | Batch  540/781 (69.1%) | Loss: 0.0164
[23:07:07][rank0] Epoch 03/10 | Batch  560/781 (71.7%) | Loss: 0.0046
[23:07:53][rank0] Epoch 03/10 | Batch  580/781 (74.3%) | Loss: 0.0282
[23:08:36][rank0] Epoch 03/10 | Batch  600/781 (76.8%) | Loss: 0.0598
[23:09:17][rank0] Epoch 03/10 | Batch  620/781 (79.4%) | Loss: 0.0088
[23:09:56][rank0] Epoch 03/10 | Batch  640/781 (81.9%) | Loss: 0.0137
[23:10:37][rank0] Epoch 03/10 | Batch  660/781 (84.5%) | Loss: 0.0172
[23:11:18][rank0] Epoch 03/10 | Batch  680/781 (87.1%) | Loss: 0.1696
[23:11:59][rank0] Epoch 03/10 | Batch  700/781 (89.6%) | Loss: 0.0152
[23:12:40][rank0] Epoch 03/10 | Batch  720/781 (92.2%) | Loss: 0.0725
[23:13:24][rank0] Epoch 03/10 | Batch  740/781 (94.8%) | Loss: 0.0466
[23:14:02][rank0] Epoch 03/10 | Batch  760/781 (97.3%) | Loss: 0.0394
[23:14:25][rank0] Epoch 03/10 | Batch  780/781 (99.9%) | Loss: 0.0508
[23:14:25][rank0] [epoch 03] avg_loss=0.0329 | time=26.5m | best=0.0329 <- best
[23:14:29][rank0] Saved -> /home/jovyan/work/EchoTrace/checkpoints/echo_epoch_03.pth
[23:14:39][rank0] Epoch 04/10 | Batch    0/781 ( 0.0%) | Loss: 0.0245
[23:15:21][rank0] Epoch 04/10 | Batch   20/781 ( 2.6%) | Loss: 0.0015
[23:16:00][rank0] Epoch 04/10 | Batch   40/781 ( 5.1%) | Loss: 0.0050
[23:16:36][rank0] Epoch 04/10 | Batch   60/781 ( 7.7%) | Loss: 0.0107
[23:17:15][rank0] Epoch 04/10 | Batch   80/781 (10.2%) | Loss: 0.0033
[23:17:49][rank0] Epoch 04/10 | Batch  100/781 (12.8%) | Loss: 0.0016
[23:18:25][rank0] Epoch 04/10 | Batch  120/781 (15.4%) | Loss: 0.0450
[23:19:03][rank0] Epoch 04/10 | Batch  140/781 (17.9%) | Loss: 0.0039
[23:19:42][rank0] Epoch 04/10 | Batch  160/781 (20.5%) | Loss: 0.0238
[23:20:23][rank0] Epoch 04/10 | Batch  180/781 (23.0%) | Loss: 0.0048
[23:21:03][rank0] Epoch 04/10 | Batch  200/781 (25.6%) | Loss: 0.0007
[23:21:45][rank0] Epoch 04/10 | Batch  220/781 (28.2%) | Loss: 0.0196
[23:22:26][rank0] Epoch 04/10 | Batch  240/781 (30.7%) | Loss: 0.0070
[23:23:08][rank0] Epoch 04/10 | Batch  260/781 (33.3%) | Loss: 0.0448
[23:23:49][rank0] Epoch 04/10 | Batch  280/781 (35.9%) | Loss: 0.0132
[23:24:28][rank0] Epoch 04/10 | Batch  300/781 (38.4%) | Loss: 0.0240
[23:25:07][rank0] Epoch 04/10 | Batch  320/781 (41.0%) | Loss: 0.0004
[23:25:45][rank0] Epoch 04/10 | Batch  340/781 (43.5%) | Loss: 0.0116
[23:26:27][rank0] Epoch 04/10 | Batch  360/781 (46.1%) | Loss: 0.0227
[23:27:19][rank0] Epoch 04/10 | Batch  380/781 (48.7%) | Loss: 0.0373
[23:28:03][rank0] Epoch 04/10 | Batch  400/781 (51.2%) | Loss: 0.0040
[23:28:50][rank0] Epoch 04/10 | Batch  420/781 (53.8%) | Loss: 0.0030
[23:29:38][rank0] Epoch 04/10 | Batch  440/781 (56.3%) | Loss: 0.0339
[23:30:20][rank0] Epoch 04/10 | Batch  460/781 (58.9%) | Loss: 0.0228
[23:31:04][rank0] Epoch 04/10 | Batch  480/781 (61.5%) | Loss: 0.0318
[23:31:50][rank0] Epoch 04/10 | Batch  500/781 (64.0%) | Loss: 0.0065
[23:32:32][rank0] Epoch 04/10 | Batch  520/781 (66.6%) | Loss: 0.0152
[23:33:21][rank0] Epoch 04/10 | Batch  540/781 (69.1%) | Loss: 0.0121
[23:34:05][rank0] Epoch 04/10 | Batch  560/781 (71.7%) | Loss: 0.0067
[23:34:55][rank0] Epoch 04/10 | Batch  580/781 (74.3%) | Loss: 0.0017
[23:35:32][rank0] Epoch 04/10 | Batch  600/781 (76.8%) | Loss: 0.0396
[23:36:18][rank0] Epoch 04/10 | Batch  620/781 (79.4%) | Loss: 0.0120
[23:37:10][rank0] Epoch 04/10 | Batch  640/781 (81.9%) | Loss: 0.0547
[23:37:50][rank0] Epoch 04/10 | Batch  660/781 (84.5%) | Loss: 0.0037
[23:38:32][rank0] Epoch 04/10 | Batch  680/781 (87.1%) | Loss: 0.0347
[23:39:16][rank0] Epoch 04/10 | Batch  700/781 (89.6%) | Loss: 0.1995
[23:40:02][rank0] Epoch 04/10 | Batch  720/781 (92.2%) | Loss: 0.0026
[23:40:46][rank0] Epoch 04/10 | Batch  740/781 (94.8%) | Loss: 0.0154
[23:41:36][rank0] Epoch 04/10 | Batch  760/781 (97.3%) | Loss: 0.0012
[23:42:03][rank0] Epoch 04/10 | Batch  780/781 (99.9%) | Loss: 0.0010
[23:42:03][rank0] [epoch 04] avg_loss=0.0162 | time=27.6m | best=0.0162 <- best
[23:42:05][rank0] Saved -> /home/jovyan/work/EchoTrace/checkpoints/echo_epoch_04.pth
[23:42:15][rank0] Epoch 05/10 | Batch    0/781 ( 0.0%) | Loss: 0.0015
[23:42:54][rank0] Epoch 05/10 | Batch   20/781 ( 2.6%) | Loss: 0.0088
[23:43:33][rank0] Epoch 05/10 | Batch   40/781 ( 5.1%) | Loss: 0.0030
[23:44:08][rank0] Epoch 05/10 | Batch   60/781 ( 7.7%) | Loss: 0.0111
[23:44:51][rank0] Epoch 05/10 | Batch   80/781 (10.2%) | Loss: 0.0013
[23:45:27][rank0] Epoch 05/10 | Batch  100/781 (12.8%) | Loss: 0.0112
[23:46:07][rank0] Epoch 05/10 | Batch  120/781 (15.4%) | Loss: 0.0203
[23:46:56][rank0] Epoch 05/10 | Batch  140/781 (17.9%) | Loss: 0.0101
[23:47:39][rank0] Epoch 05/10 | Batch  160/781 (20.5%) | Loss: 0.0133
[23:48:15][rank0] Epoch 05/10 | Batch  180/781 (23.0%) | Loss: 0.0183
[23:48:57][rank0] Epoch 05/10 | Batch  200/781 (25.6%) | Loss: 0.0016
[23:49:44][rank0] Epoch 05/10 | Batch  220/781 (28.2%) | Loss: 0.0032
[23:50:23][rank0] Epoch 05/10 | Batch  240/781 (30.7%) | Loss: 0.0074
[23:51:07][rank0] Epoch 05/10 | Batch  260/781 (33.3%) | Loss: 0.0011
[23:51:52][rank0] Epoch 05/10 | Batch  280/781 (35.9%) | Loss: 0.0024
[23:52:31][rank0] Epoch 05/10 | Batch  300/781 (38.4%) | Loss: 0.0003
[23:53:15][rank0] Epoch 05/10 | Batch  320/781 (41.0%) | Loss: 0.0019
[23:53:54][rank0] Epoch 05/10 | Batch  340/781 (43.5%) | Loss: 0.0019
[23:54:42][rank0] Epoch 05/10 | Batch  360/781 (46.1%) | Loss: 0.0021
[23:55:21][rank0] Epoch 05/10 | Batch  380/781 (48.7%) | Loss: 0.0006
[23:56:07][rank0] Epoch 05/10 | Batch  400/781 (51.2%) | Loss: 0.0088
[23:56:51][rank0] Epoch 05/10 | Batch  420/781 (53.8%) | Loss: 0.0100
[23:57:29][rank0] Epoch 05/10 | Batch  440/781 (56.3%) | Loss: 0.0001
[23:58:10][rank0] Epoch 05/10 | Batch  460/781 (58.9%) | Loss: 0.0085
[23:58:55][rank0] Epoch 05/10 | Batch  480/781 (61.5%) | Loss: 0.0083
[23:59:36][rank0] Epoch 05/10 | Batch  500/781 (64.0%) | Loss: 0.0012
[00:00:15][rank0] Epoch 05/10 | Batch  520/781 (66.6%) | Loss: 0.0018
[00:00:58][rank0] Epoch 05/10 | Batch  540/781 (69.1%) | Loss: 0.0024
[00:01:45][rank0] Epoch 05/10 | Batch  560/781 (71.7%) | Loss: 0.1007
[00:02:24][rank0] Epoch 05/10 | Batch  580/781 (74.3%) | Loss: 0.0002
[00:03:07][rank0] Epoch 05/10 | Batch  600/781 (76.8%) | Loss: 0.0004
[00:03:51][rank0] Epoch 05/10 | Batch  620/781 (79.4%) | Loss: 0.0312
[00:04:35][rank0] Epoch 05/10 | Batch  640/781 (81.9%) | Loss: 0.0277
[00:05:15][rank0] Epoch 05/10 | Batch  660/781 (84.5%) | Loss: 0.0065
[00:06:00][rank0] Epoch 05/10 | Batch  680/781 (87.1%) | Loss: 0.0008
[00:06:44][rank0] Epoch 05/10 | Batch  700/781 (89.6%) | Loss: 0.0026
[00:07:24][rank0] Epoch 05/10 | Batch  720/781 (92.2%) | Loss: 0.0522
[00:08:06][rank0] Epoch 05/10 | Batch  740/781 (94.8%) | Loss: 0.0002
[00:08:48][rank0] Epoch 05/10 | Batch  760/781 (97.3%) | Loss: 0.0036
[00:09:15][rank0] Epoch 05/10 | Batch  780/781 (99.9%) | Loss: 0.0359
[00:09:15][rank0] [epoch 05] avg_loss=0.0087 | time=27.2m | best=0.0087 <- best
[00:09:23][rank0] Saved -> /home/jovyan/work/EchoTrace/checkpoints/echo_epoch_05.pth
[00:09:30][rank0] Epoch 06/10 | Batch    0/781 ( 0.0%) | Loss: 0.0002
[00:10:06][rank0] Epoch 06/10 | Batch   20/781 ( 2.6%) | Loss: 0.0008
[00:10:47][rank0] Epoch 06/10 | Batch   40/781 ( 5.1%) | Loss: 0.0034
[00:11:25][rank0] Epoch 06/10 | Batch   60/781 ( 7.7%) | Loss: 0.0007
[00:12:02][rank0] Epoch 06/10 | Batch   80/781 (10.2%) | Loss: 0.0104
[00:12:44][rank0] Epoch 06/10 | Batch  100/781 (12.8%) | Loss: 0.0019
[00:13:25][rank0] Epoch 06/10 | Batch  120/781 (15.4%) | Loss: 0.0003
[00:14:07][rank0] Epoch 06/10 | Batch  140/781 (17.9%) | Loss: 0.0491
[00:14:51][rank0] Epoch 06/10 | Batch  160/781 (20.5%) | Loss: 0.0003
[00:15:33][rank0] Epoch 06/10 | Batch  180/781 (23.0%) | Loss: 0.0010
[00:16:10][rank0] Epoch 06/10 | Batch  200/781 (25.6%) | Loss: 0.0003
[00:16:47][rank0] Epoch 06/10 | Batch  220/781 (28.2%) | Loss: 0.0002
[00:17:28][rank0] Epoch 06/10 | Batch  240/781 (30.7%) | Loss: 0.0005
[00:18:09][rank0] Epoch 06/10 | Batch  260/781 (33.3%) | Loss: 0.0059
[00:18:52][rank0] Epoch 06/10 | Batch  280/781 (35.9%) | Loss: 0.0003
[00:19:33][rank0] Epoch 06/10 | Batch  300/781 (38.4%) | Loss: 0.0001
[00:20:11][rank0] Epoch 06/10 | Batch  320/781 (41.0%) | Loss: 0.0001
[00:20:50][rank0] Epoch 06/10 | Batch  340/781 (43.5%) | Loss: 0.0001
[00:21:24][rank0] Epoch 06/10 | Batch  360/781 (46.1%) | Loss: 0.0002
[00:22:06][rank0] Epoch 06/10 | Batch  380/781 (48.7%) | Loss: 0.0016
[00:22:45][rank0] Epoch 06/10 | Batch  400/781 (51.2%) | Loss: 0.0001
[00:23:26][rank0] Epoch 06/10 | Batch  420/781 (53.8%) | Loss: 0.0001
[00:24:06][rank0] Epoch 06/10 | Batch  440/781 (56.3%) | Loss: 0.0049
[00:24:48][rank0] Epoch 06/10 | Batch  460/781 (58.9%) | Loss: 0.0003
[00:25:33][rank0] Epoch 06/10 | Batch  480/781 (61.5%) | Loss: 0.0002
[00:26:14][rank0] Epoch 06/10 | Batch  500/781 (64.0%) | Loss: 0.0000
[00:26:55][rank0] Epoch 06/10 | Batch  520/781 (66.6%) | Loss: 0.0000
[00:27:37][rank0] Epoch 06/10 | Batch  540/781 (69.1%) | Loss: 0.0001
[00:28:18][rank0] Epoch 06/10 | Batch  560/781 (71.7%) | Loss: 0.0478
[00:28:57][rank0] Epoch 06/10 | Batch  580/781 (74.3%) | Loss: 0.0272
[00:29:37][rank0] Epoch 06/10 | Batch  600/781 (76.8%) | Loss: 0.0029
[00:30:19][rank0] Epoch 06/10 | Batch  620/781 (79.4%) | Loss: 0.0001
[00:30:58][rank0] Epoch 06/10 | Batch  640/781 (81.9%) | Loss: 0.0016
[00:31:40][rank0] Epoch 06/10 | Batch  660/781 (84.5%) | Loss: 0.0031
[00:32:21][rank0] Epoch 06/10 | Batch  680/781 (87.1%) | Loss: 0.0002
[00:33:00][rank0] Epoch 06/10 | Batch  700/781 (89.6%) | Loss: 0.0494
[00:33:42][rank0] Epoch 06/10 | Batch  720/781 (92.2%) | Loss: 0.0007
[00:34:15][rank0] Epoch 06/10 | Batch  740/781 (94.8%) | Loss: 0.0014
